CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
826-73-3,1.071,100,DCM,400,60/40,10,2024-12-03_14-02-27.xlsx,CN,561,1732,C1CCC(=O)C2=CC=CC=C2C1,561,1732
826-73-3,1.071,100,DCM,400,50/50,10,2024-12-03_14-11-45.xlsx,CN,620,4507,C1CCC(=O)C2=CC=CC=C2C1,620,4507
104-20-1,1.046,100,DCM,400,90/10,10,2024-12-03_14-27-10.xlsx,CN,272,1203,CC(=O)CCC1=CC=C(C=C1)OC,272,1203
104-20-1,1.046,100,DCM,400,80/20,10,2024-12-03_14-30-32.xlsx,CN,540,950,CC(=O)CCC1=CC=C(C=C1)OC,540,950
104-20-1,1.046,100,DCM,400,70/30,10,2024-12-03_14-34-14.xlsx,CN,546,1159,CC(=O)CCC1=CC=C(C=C1)OC,546,1159
104-20-1,1.046,100,DCM,400,60/40,10,2024-12-03_14-38-26.xlsx,CN,583,1456,CC(=O)CCC1=CC=C(C=C1)OC,583,1456
104-20-1,1.046,100,DCM,400,50/50,10,2024-12-03_14-42-58.xlsx,CN,605,1660,CC(=O)CCC1=CC=C(C=C1)OC,605,1660
1009-14-9,0.975,100,DCM,400,90/10,10,2024-12-03_14-50-28.xlsx,CN,330,1378,CCCCC(=O)C1=CC=CC=C1,330,1378
1009-14-9,0.975,100,DCM,400,80/20,10,2024-12-03_14-54-40.xlsx,CN,517,1477,CCCCC(=O)C1=CC=CC=C1,517,1477
1009-14-9,0.975,100,DCM,400,70/30,10,2024-12-03_15-00-08.xlsx,CN,535,2221,CCCCC(=O)C1=CC=CC=C1,535,2221
1009-14-9,0.975,100,DCM,400,60/40,10,2024-12-03_15-09-06.xlsx,CN,564,4320,CCCCC(=O)C1=CC=CC=C1,564,4320
1009-14-9,0.975,100,DCM,400,50/50,10,2024-12-03_15-21-51.xlsx,CN,605,6598,CCCCC(=O)C1=CC=CC=C1,605,6598
